qC_l_hip_yaw	qC_l_hip_rol	qC_l_hip_pit	qC_l_kne	qC_l_ank	qC_r_hip_yaw	qC_r_hip_rol	qC_r_hip_pit	qC_r_kne	qC_r_ank	torso	qC_l_shd_pit	qC_l_shd_rol	qC_l_shd_yaw	qC_l_elb	qC_r_shd_pit	qC_r_shd_rol	qC_r_shd_yaw	qC_r_elb	qP_l_hip_yaw	qP_l_hip_rol	qP_l_hip_pit	qP_l_kne	qP_l_ank	qP_r_hip_yaw	qP_r_hip_rol	qP_r_hip_pit	qP_r_kne	qP_r_ank	torso	qP_l_shd_pit	qP_l_shd_rol	qP_l_shd_yaw	qP_l_elb	qP_r_shd_pit	qP_r_shd_rol	qP_r_shd_yaw	qP_r_elb	qV_l_hip_yaw	qV_l_hip_rol	qV_l_hip_pit	qV_l_kne	qV_l_ank	qV_r_hip_yaw	qV_r_hip_rol	qV_r_hip_pit	qV_r_kne	qV_r_ank	torso	qV_l_shd_pit	qV_l_shd_rol	qV_l_shd_yaw	qV_l_elb	qV_r_shd_pit	qV_r_shd_rol	qV_r_shd_yaw	qV_r_elb	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	
0.004046	-0.027205	-0.185413	0.412900	-0.204195	0.008844	0.048915	-0.189836	0.414530	-0.206071	0.007685	0.013364	0.005503	0.007628	0.014992	0.018845	0.011446	0.011945	0.015598	-0.005377	-0.036602	-0.194836	0.403476	-0.213618	-0.000579	0.039491	-0.199234	0.405106	-0.215505	-0.001764	0.003951	-0.003909	-0.001795	0.005569	0.009412	0.002023	0.002491	0.006205	0.000347	0.003720	-0.000055	-0.000235	-0.014757	-0.000131	-0.003462	0.000033	-0.000094	-0.028172	0.000320	0.000000	0.013415	0.015502	0.019378	-0.002683	-0.002683	-0.034880	0.034880	-0.019880	0.082419	0.136219	-0.009344	0.015808	-0.017563	
0.013460	-0.017791	-0.175999	0.422314	-0.194781	0.018258	0.058328	-0.180422	0.423943	-0.196657	0.017099	0.022778	0.014917	0.017042	0.024406	0.028259	0.020860	0.021359	0.025011	-0.005198	-0.036832	-0.194402	0.403588	-0.213597	-0.000426	0.040003	-0.199131	0.405154	-0.215505	-0.001687	0.004119	-0.003742	-0.000947	0.006598	0.009621	0.002452	0.003460	0.007355	0.006181	-0.004695	0.013600	0.003302	0.018781	0.003925	0.013788	0.003806	0.001888	-0.033538	0.003110	0.100615	0.053661	0.426308	0.519320	0.103298	0.151593	0.461187	0.558075	-0.019998	0.082563	0.136053	-0.011612	0.009540	-0.013600	
0.022855	-0.008395	-0.166604	0.431709	-0.185386	0.027653	0.067724	-0.171027	0.433339	-0.187262	0.026494	0.032173	0.024313	0.026438	0.033801	0.037655	0.030255	0.030754	0.034407	-0.003767	-0.037420	-0.190899	0.404946	-0.213430	0.001543	0.044962	-0.197137	0.405937	-0.215379	-0.000435	0.006446	-0.002788	0.002959	0.011412	0.012021	0.005429	0.009031	0.013199	0.062099	-0.040301	0.153323	0.056459	0.059027	0.080215	0.221803	0.078483	0.031604	0.042929	0.052487	0.403800	0.183789	0.755727	0.902997	0.398434	0.503073	0.709221	0.972756	-0.020168	0.082621	0.135912	-0.017694	-0.019479	0.012040	
0.032223	0.000972	-0.157236	0.441076	-0.176018	0.037021	0.077091	-0.161659	0.442706	-0.177894	0.035861	0.041541	0.033680	0.035805	0.043169	0.047022	0.039623	0.040121	0.043774	0.002395	-0.036679	-0.187882	0.407615	-0.212256	0.005531	0.049360	-0.192638	0.408590	-0.214341	0.003682	0.011770	-0.001247	0.010528	0.019345	0.017293	0.011581	0.018993	0.021495	0.316558	-0.003080	0.328499	0.181831	0.226718	0.270563	0.450047	0.299323	0.146935	0.182448	0.218828	0.685521	0.207937	0.984383	1.286674	0.760646	0.799550	1.011512	1.116151	-0.020460	0.082579	0.136104	-0.071177	0.009221	0.015679	
0.041553	0.010302	-0.147906	0.450407	-0.166688	0.046351	0.086422	-0.152329	0.452037	-0.168564	0.045192	0.050871	0.043011	0.045135	0.052499	0.056352	0.048953	0.049452	0.053105	0.011369	-0.036347	-0.187192	0.410427	-0.208462	0.013789	0.050817	-0.192331	0.410715	-0.210768	0.008795	0.016570	0.000880	0.018279	0.031547	0.024451	0.016308	0.026955	0.031305	0.704899	0.049610	0.235291	0.248543	0.637226	0.530919	0.341684	0.278976	0.221073	0.516488	0.436593	0.401117	0.340748	1.019263	2.007521	0.816990	0.275013	1.058018	1.747861	-0.021255	0.081824	0.136480	-0.137556	-0.084082	0.022209	
0.050837	0.019586	-0.138622	0.459691	-0.157404	0.055635	0.095706	-0.143045	0.461321	-0.159280	0.054476	0.060155	0.052295	0.054420	0.061783	0.065637	0.058237	0.058736	0.062389	0.023768	-0.035068	-0.182718	0.414837	-0.200046	0.025013	0.055956	-0.190311	0.414454	-0.204448	0.016951	0.020437	0.004727	0.027665	0.041750	0.030625	0.019641	0.033132	0.043052	1.038661	0.074406	0.226688	0.339036	1.042367	0.866367	0.312590	0.118541	0.287984	0.830405	0.646542	0.414532	0.532586	1.286674	1.437819	0.493682	0.622469	0.759603	1.395189	-0.022428	0.080735	0.136608	-0.141109	-0.081876	0.002778	
0.060066	0.028815	-0.129393	0.468919	-0.148175	0.064864	0.104934	-0.133816	0.470549	-0.150051	0.063704	0.069384	0.061523	0.063648	0.071012	0.074865	0.067466	0.067964	0.071617	0.039364	-0.031387	-0.178244	0.421293	-0.186819	0.040787	0.062782	-0.186272	0.421149	-0.192720	0.029222	0.026401	0.012147	0.039322	0.054679	0.037552	0.027816	0.042881	0.055436	1.288587	0.204933	0.398928	0.493438	1.360309	1.224044	0.556211	0.280362	0.461759	1.313355	0.920129	0.782111	0.908214	0.899122	1.054142	0.977974	0.782111	1.061893	1.096773	-0.024410	0.078590	0.137389	-0.247051	-0.191300	0.044276	
0.069230	0.037979	-0.120229	0.478083	-0.139011	0.074028	0.114098	-0.124652	0.479713	-0.140887	0.072868	0.078548	0.070687	0.072812	0.080176	0.084029	0.076630	0.077128	0.080781	0.050178	-0.028574	-0.173131	0.427125	-0.176967	0.050835	0.068407	-0.184022	0.426215	-0.183738	0.038094	0.031893	0.018708	0.046891	0.061461	0.044931	0.033004	0.050209	0.062793	1.361849	0.311756	0.483826	0.613684	1.275793	1.336538	0.631958	0.324947	0.566422	1.430068	1.070939	0.918946	1.054440	1.170408	1.278923	1.188593	0.880042	1.437819	1.371935	-0.026249	0.076652	0.137966	-0.269507	-0.213887	0.042080	
0.078320	0.047069	-0.111139	0.487174	-0.129921	0.083118	0.123189	-0.115562	0.488804	-0.131797	0.081959	0.087638	0.079778	0.081902	0.089266	0.093119	0.085720	0.086219	0.089872	0.062246	-0.021416	-0.166023	0.434492	-0.164453	0.063746	0.080244	-0.178653	0.434508	-0.171716	0.052641	0.042552	0.029335	0.055339	0.070999	0.057644	0.042258	0.061290	0.071634	1.337729	0.492550	0.675338	0.721220	1.230181	1.350480	0.857680	0.397866	0.723714	1.282500	1.193048	1.246279	1.409945	1.340931	1.375811	1.389822	1.129566	1.290549	1.317678	-0.028917	0.073634	0.138985	-0.339291	-0.292998	0.060523	
0.087328	0.056077	-0.102131	0.496181	-0.120913	0.092126	0.132196	-0.106554	0.497811	-0.122789	0.090967	0.096646	0.088785	0.090910	0.098274	0.102127	0.094728	0.095227	0.098879	0.071628	-0.014232	-0.155439	0.443408	-0.152820	0.074893	0.090624	-0.172721	0.444063	-0.160617	0.063814	0.053714	0.041158	0.064150	0.079991	0.069812	0.053577	0.071373	0.079900	1.163308	0.660923	0.852106	0.821187	1.133591	1.240654	1.001194	0.539418	0.885016	1.204692	1.203814	1.336161	1.510560	1.224666	1.364184	1.548123	1.428727	1.282798	1.240168	-0.031977	0.069980	0.140129	-0.376846	-0.346509	0.054372	
